juv_other_count,score_text,priors_count,juv_misd_count,juvenile_total,sex,age_cat,id,c_charge_degree,two_year_recid,juv_fel_count,age_in_months,race,prior_offenses,age,decile_score
0,low,4.0,0,0.0,Male,25 - 45,754,F,1,0.0,348.0,African-American,4.0,29.0,4
0,High,16.0,0,0.0,MALE,25 - 45,9413,F,1,0.0,408.0,African-American,16.0,34.0,9
0,Medium,3.0,0,0.0,Male,25 - 45,5280,F,1,0.0,372.0,Caucasian,3.0,31.0,5
0,Low,0.0,0,0.0,Male,Greater than 45,3339,F,0,0.0,708.0,Caucasian,0.0,59.0,1
0,High,9.0,0,0.0,Male,25 - 45,3870,F,1,0.0,360.0,African-American,9.0,30.0,10
0,High,1.0,0,0.0,Male,25 - 45,3502,F,1,0.0,408.0,Hispanic,1.0,34.0,1
1,High,19.0,2,3.0,Male,25 - 45,2138,F,1,0.0,408.0,African-American,19.0,34.0,10
0,High,6.0,0,0.0,Female,25 - 45,262,F,0,0.0,444.0,Caucasian,6.0,37.0,10
0,Medium,1.0,0,1.0,Male,25 - 45,9240,F,1,1.0,324.0,African-American,1.0,27.0,5
0,Low,0.0,0,0.0,Male,Greater than 45,7870,F,0,0.0,660.0,Hispanic,0.0,55.0,1
0,Low,2.0,0,0.0,Male,25 - 45,7034,F,1,0.0,336.0,Caucasian,2.0,28.0,3
0,Medium,5.0,0,0.0,Male,25 - 45,2750,F,0,0.0,468.0,African-American,5.0,39.0,7
0,Low,0.0,0,0.0,Male,Greater than 45,10087,F,1,0.0,552.0,Caucasian,0.0,46.0,2
0,Low,0.0,0,0.0,Male,Greater than 45,6430,M,0,0.0,600.0,african-american,0.0,50.0,1
0,Medium,1.0,0,0.0,Male,25 - 45,8289,F,0,0.0,348.0,Caucasian,1.0,29.0,6
0,Low,1.0,0,0.0, Male,Less than 25,4969,,0,0.0,288.0,African-American,1.0,24.0,4
0,Low,N/A,0,0.0,MALE,25 - 45,9463,M,0,0.0,396.0,Hispanic,N/A,33.0,1
0,Low,,0,0.0,Male,Greater than 45,5181,F,0,0.0,600.0,Caucasian,,50.0,1
0,Low,1.0,0,0.0,Male,25 - 45,7593,Felony,1,0.0,492.0,Hispanic,1.0,41.0,2
0,Low,1.0,0,0.0,Male,25 - 45,7439,F,1,0.0,456.0,African-American,1.0,38.0,4
0,High,0.0,0,0.0,Female,25 - 45,1606,f,0,0.0,372.0,African-American,0.0,31.0,8
0,High,6.0,0,3.0,Male,25 - 45,2247,F,1,3.0,372.0,African-American,6.0,31.0,10
0,Low,0.0,0,0.0,Male,Less than 25,7153,M,0,0.0,252.0,African-American,0.0,21.0,4
0,Low,0.0,0,0.0,Male,Greater than 45,2243,M,1,0.0,684.0,Caucasian,0.0,57.0,2
0,Medium,6.0,0,0.0,Female,25 - 45,10622,F,0,0.0,528.0,African-American,6.0,44.0,6
0,medium,0.0,0,0.0,Female,Less than 25,7856,F,1,0.0,264.0,Caucasian,0.0,22.0,7
0,Low,9.0,0,0.0,Male,25 - 45,10964,F,0,0.0,432.0,African-American,9.0,36.0,4
0,High,3.0,0,0.0,Male,Less than 25,1701,F,1,,264.0,African-American,3.0,22.0,8
0,Low,4.0,0,3.0,Male,25 - 45,7228,F,1,3.0,360.0,Caucasian,4.0,30.0,4
0,Medium,10.0,1,1.0,Male,25 - 45,5116,F,1,,336.0,African-American,10.0,28.0,7
0,Medium,,0,0.0,Male,Greater than 45,3383,F,1,0.0,552.0,African-American,,46.0,5
1,High,13.0,1,2.0,Male,25 - 45,2476,F,1,0.0,312.0,African-American,13.0,26.0,8
0,Low,1.0,0,0.0,Male,Greater than 45,7681,F,0,0.0,648.0,Other,1.0,54.0,1
0,Low,5.0,0,0.0,Male,25 - 45,9136,F,0,0.0,312.0,African-American,5.0,26.0,4
0,Low,3.0,0,0.0,Male,25 - 45,10150,M,1,0.0,336.0,African-American,3.0,28.0,2
0,Low,5.0,0,0.0,Female,Greater than 45,10737,F,0,0.0,828.0,Caucasian,5.0,69.0,3
1,Low,2.0,0,1.0,Male,25 - 45,2103,F,1,0.0,336.0,African-American,2.0,28.0,4
0,Low,0.0,0,0.0,Female ,25 - 45,5655,M,0,0.0,300.0,Caucasian,0.0,25.0,3
0,Medium,0.0,0,0.0,Male,25 - 45,9912,F,0,0.0,312.0,Hispanic,0.0,26.0,6
2,Medium,2.0,0,2.0,Male,Less than 25,7004,F,0,0.0,,Caucasian,2.0,,6
0,Medium,0.0,0,0.0,Female,25 - 45,6715,M,0,0.0,300.0,African-American,0.0,25.0,5
0,Medium,0.0,0,0.0,Male,Less than 25,6490,F,1,0.0,264.0,African-American,0.0,22.0,5
0,Medium,6.0,0,0.0,MALE,25 - 45,10042,F,1,0.0,300.0,African-American,6.0,25.0,7
0,Low,1.0,0,0.0,Male,25 - 45,3350,F,0,0.0,372.0,African-American,1.0,31.0,1
0,LOW,1.0,0,0.0,Male,Greater than 45,4604,M,0,0.0,576.0,Hispanic,1.0,48.0,1
0,Low,,0,0.0,Male,Greater than 45,7010,F,1,0.0,648.0,African-American,,54.0,3
1,High,,0,5.0,Male,Greater than 45,2327,Felony,1,4.0,564.0,African-American,,47.0,9
0,Low,3.0,0,0.0,Male,25 - 45,6248,F,0,0.0,408.0,Caucasian,3.0,34.0,1
0,Low,0.0,0,0.0,Male,25 - 45,3056,F,0,0.0,300.0, African-American,0.0,25.0,3
0,Low,0.0,0,0.0,n/a,Greater than 45,2788,F,0,0.0,648.0,Caucasian,0.0,54.0,1
0,low,1.0,0,0.0,Male,Greater than 45,3457,F,0,0.0,576.0,African-American,1.0,48.0,1
0,low,0.0,0,0.0,Male,25 - 45,3217,F,0,0.0,312.0,Caucasian,0.0,26.0,2
0,Low,0.0,0,0.0,Male,Greater than 45,10064,M,0,0.0,612.0,African-American,0.0,51.0,1
0,Medium,5.0,1,1.0,Male,25 - 45,4260,M,0,0.0,312.0,African-American,5.0,26.0,5
0,Low,2.0,0,0.0,Male,25 - 45,1446,F,0,0.0,420.0,Caucasian,2.0,35.0,1
0,High,1.0,0,0.0,Male,Less than 25,6810,F,1,0.0,264.0,African-American,1.0,22.0,9
0,Medium,9.0,0,0.0,Female,Greater than 45,2645,F,0,0.0,576.0,HISPANIC,9.0,48.0,6
0,Medium,5.0,0,0.0,male,25 - 45,10860,M,0,0.0,516.0,African-American,5.0,43.0,6
0,Low,0.0,0,0.0,male,25 - 45,1511,m,0,0.0,348.0,African-American,0.0,29.0,2
0,Low,4.0,0,0.0,Female,25 - 45,2583,F,0,0.0,420.0,Caucasian,4.0,35.0,3
0,Low,0.0,0,0.0,Male,Greater than 45,2526,M,0,0.0,612.0,Caucasian,0.0,51.0,1
0,Medium,0.0,0,0.0,Male,Less than 25,5147,,1,0.0,264.0,Other,0.0,22.0,5
0,Low,0.0,0,0.0,Female,25 - 45,10,M,0,0.0,468.0,Caucasian,0.0,39.0,1
0,Low,0.0,0,0.0,Male,25 - 45,6852,F,1,0.0,324.0,Other,0.0,27.0,2
0,Low,1.0,0,0.0,Male,25 - 45,10008,F,1,0.0,336.0,Caucasian,1.0,28.0,4
1,Low,3.0,2,3.0,Male,Less than 25,5374,M,1,0.0,240.0,Other,3.0,20.0,2
0,Low,1.0,0,0.0,Male,Greater than 45,279,F,0,0.0,684.0,Hispanic,1.0,57.0,1
0,Low,1.0,0,0.0, Male,25 - 45,175,F,1,0.0,504.0,Caucasian,1.0,42.0,2
0,Low,0.0,0,0.0,Male,25 - 45,2951,f,0,0.0,300.0,African-American,0.0,25.0,4
0,Low,9.0,0,1.0,Male,25 - 45,9865,M,1,1.0,360.0,African-American,9.0,30.0,4
0,Low,1.0,0,0.0,Male,Greater than 45,6395,M,0,0.0,684.0,caucasian,1.0,57.0,1
0,Low,1.0,0,0.0,Male,25 - 45,5691,M,0,0.0,312.0,Caucasian,1.0,26.0,3
0,Medium,4.0,0,0.0,Female,25 - 45,1683,M,1,0.0,360.0,-,4.0,30.0,7
0,LOW,0.0,0,0.0,Male,25 - 45,1866,M,0,0.0,384.0,Hispanic,0.0,32.0,2
0,Low,0.0,0,0.0, Male,25 - 45,1006,M,0,0.0,420.0,African-American,0.0,35.0,4
0,Low,3.0,0,0.0,n/a,25 - 45,9399,Misdemeanor,1,0.0,516.0,hispanic,3.0,43.0,3
0,Low,1.0,0,0.0,Male,Greater than 45,2580,F,0,0.0,696.0,Caucasian,1.0,58.0,1
0,low,2.0,0,0.0,Male,Less than 25,1770,F,1,0.0,276.0,African-American,2.0,23.0,2
0,Low,0.0,0,0.0,Female,Less than 25,2431,F,0,0.0,240.0,Caucasian,0.0,20.0,4
0,High,10.0,1,2.0,Male,25 - 45,700,F,1,1.0,312.0,African-American,10.0,26.0,9
0,High,8.0,0,0.0,Male,25 - 45,2766,F,1,,336.0,African-American,8.0,28.0,8
0,Low,3.0,0,0.0, Male,Greater than 45,7227,F,0,0.0,,Caucasian,3.0,,2
0,low,1.0,0,0.0,Male,25 - 45,2429,F,0,0.0,348.0,CAUCASIAN,1.0,29.0,3
0,Low,0.0,0,0.0,Male,25 - 45,2284,M,0,0.0,396.0,Caucasian,0.0,33.0,1
0,Low,N/A,0,0.0,male,25 - 45,8593,F,1,0.0,408.0,Other,N/A,34.0,2
1,Medium,6.0,0,1.0,Male,25 - 45,1377,m,1,0.0,468.0,African-American,6.0,39.0,7
0,Medium,0.0,0,0.0,Male,Less than 25,9332,F,0,0.0,264.0,African-American,0.0,22.0,7
0,Low,1.0,0,0.0,Female,25 - 45,4187,F,1,0.0,528.0,Caucasian,1.0,44.0,1
0,Medium,8.0,0,0.0,Male,25 - 45,638,F,1,0.0,336.0,?,8.0,28.0,6
0,Low,2.0,0,0.0,Male,Greater than 45,6376,F,0,0.0,720.0,African-American,2.0,60.0,1
0,Low,0.0,0,0.0,male,25 - 45,3041,M,1,0.0,456.0,Caucasian,0.0,38.0,3
0,medium,6.0,0,0.0,Male,25 - 45,2856,F,0,0.0,312.0,African-American,6.0,26.0,6
0,LOW,7.0,0,0.0,Male,25 - 45,2285,F,0,0.0,,African-American,7.0,,3
0,High,14.0,0,0.0,Male,25 - 45,3738,F,0,0.0,336.0,Caucasian,14.0,28.0,9
0,Low,0.0,0,0.0,Male,25 - 45,5753,M,0,0.0,360.0,Caucasian,0.0,30.0,4
0,Medium,0.0,0,0.0,Male,25 - 45,5600,M,1,0.0,300.0,African-American,0.0,25.0,5
5,High,17.0,6,11.0,Male,25 - 45,8147,F,1,0.0,384.0,African-American,17.0,32.0,8
0,Low,0.0,0,0.0,Male,25 - 45,7412,F,1,0.0,336.0,Caucasian,0.0,28.0,2
0,High,1.0,0,1.0,Female,Less than 25,220,F,0,1.0,240.0,African-American,1.0,20.0,10
0,Low,4.0,0,0.0,Female,25 - 45,1323,F,0,0.0,360.0,African-American,4.0,30.0,3
0,Low,0.0,0,0.0,Male,25 - 45,5644,M,1,0.0,528.0,Hispanic,0.0,44.0,1
0,Low,4.0,0,0.0,Male,25 - 45,336,F,1,0.0,,Other,4.0,,4
0,Medium,6.0,1,1.0,Male,25 - 45,2532,M,0,,300.0,African-American,6.0,25.0,7
0,High,2.0,0,0.0,Male,25 - 45,7005,F,0,0.0,384.0,African-American,2.0,32.0,8
0,Medium,0.0,0,0.0,Male,Less than 25,3409,M,0,0.0,264.0,African-American,0.0,22.0,6
1,Medium,0.0,0,1.0,Male,Less than 25,9685,,1,0.0,264.0,African-American,0.0,22.0,7
0,Low,0.0,0,0.0,Male,25 - 45,4448,F,0,0.0,420.0,African-American,0.0,35.0,4
0,High,7.0,4,4.0,Male,Less than 25,5122,F,1,0.0,264.0,African-American,7.0,22.0,8
0,Low,1.0,0,0.0,Male,25 - 45,2480,F,0,,516.0,African-American,1.0,43.0,1
0,Low,0.0,0,0.0,Male,Less than 25,9734,F,0,0.0,288.0,Caucasian,0.0,24.0,4
0,Low,0.0,0,0.0,Male,Less than 25,8576,M,1,0.0,252.0,African-American,0.0,21.0,4
0,Low,2.0,0,0.0, Male,25 - 45,2216,F,0,0.0,528.0,African-American,2.0,44.0,2
0,Low,2.0,0,0.0,Male,25 - 45,9513,F,0,0.0,516.0,African-American,2.0,43.0,1
0,Medium,,0,0.0,Male,Greater than 45,2207,F,1,0.0,576.0,African-American,,48.0,6
1,High,1.0,0,1.0,Male,Less than 25,8518,F,1,0.0,252.0,African-American,1.0,21.0,10
0,High,10.0,0,0.0,Male,25 - 45,3618,F,1,0.0,456.0,caucasian,10.0,38.0,8
0,Low,0.0,0,0.0,Female,25 - 45,6944,M,0,0.0,528.0,Caucasian,0.0,44.0,1
0,Medium,0.0,0,0.0,Female ,Less than 25,4376,M,0,0.0,276.0,Other,0.0,23.0,5
0,Low,0.0,0,0.0,Male,Greater than 45,8340,F,0,0.0,540.0,caucasian,0.0,45.0,1
0,Low,0.0,0,0.0,Female,Less than 25,4492,F,0,0.0,,African-American,0.0,,4
0,High,0.0,0,0.0,Male,Less than 25,4328,F,1,0.0,,African-American,0.0,,8
0,Medium,11.0,0,0.0,Male,Greater than 45,6449,M,1,0.0,612.0,African-American,11.0,51.0,5
0,Low,0.0,0,0.0,Male,Greater than 45,4183,F,0,0.0,708.0,Caucasian,0.0,59.0,1
0,Low,0.0,0,0.0,Female,25 - 45,3377,F,0,0.0,444.0,Caucasian,0.0,37.0,1
0,Low,6.0,0,0.0,Male,25 - 45,10171,F,1,0.0,408.0,African-American,6.0,34.0,3
1,Low,N/A,0,1.0,female,25 - 45,7399,F,0,0.0,336.0,Other,N/A,28.0,2
0,MEDIUM,0.0,0,0.0,Female,Less than 25,145,f,0,0.0,240.0,Caucasian,0.0,20.0,7
0,Medium,3.0,3,3.0,Female,Less than 25,7568,M,0,0.0,240.0,African-American,3.0,20.0,5
1,Medium,0.0,0,1.0,Male,Less than 25,7356,,1,0.0,252.0,Native American,0.0,21.0,6
0,Low,2.0,0,0.0,Male,Greater than 45,1244,F,0,0.0,564.0,Caucasian,2.0,47.0,4
0,Low,5.0,0,0.0,Male,Greater than 45,10092,F,1,,792.0,African-American,5.0,66.0,2
0,Low,1.0,0,0.0,Male,Less than 25,5183,M,0,0.0,288.0,African-American,1.0,24.0,4
2,Low,0.0,0,2.0,Male,Less than 25,9570,F,1,0.0,264.0,African-American,0.0,22.0,3
0,High,4.0,0,0.0, Male,25 - 45,5586,F,1,0.0,312.0,African-American,4.0,26.0,8
0,Medium,,0,0.0,?,Greater than 45,8307,F,0,0.0,636.0,African-American,,53.0,6
0,Medium,2.0,0,0.0,Male,25 - 45,7047,M,0,0.0,480.0,Native American,2.0,40.0,6
0,Medium,1.0,0,0.0,MALE,25 - 45,8462,F,0,0.0,372.0,Caucasian,1.0,31.0,5
0,Medium,4.0,0,0.0,Female,25 - 45,4927,F,1,0.0,300.0,African-American,4.0,25.0,7
0,Low,1.0,0,0.0,Male,Greater than 45,4754,F,0,0.0,564.0,African-American,1.0,47.0,1
0,Medium,8.0,1,1.0,Female,25 - 45,1529,m,1,0.0,456.0,African-American,8.0,38.0,7
0,Medium,5.0,0,0.0,Male,25 - 45,9096,F,0,0.0,300.0,African-American,5.0,25.0,5
0,Low,0.0,0,0.0,Male,25 - 45,4401,F,0,0.0,528.0,African-American,0.0,44.0,2
0,Low,0.0,0,0.0,Male,Less than 25,6796,f,1,0.0,276.0,African-American,0.0,23.0,2
0,Low,18.0,0,0.0,Male,25 - 45,3288,F,1,0.0,516.0,African-American,18.0,43.0,4
1,High,7.0,1,2.0,Male,Less than 25,1298,M,0,0.0,288.0,African-American,7.0,24.0,9
0,Low,7.0,0,0.0,Male,25 - 45,6125,F,0,0.0,384.0,African-American,7.0,32.0,1
0,Low,0.0,0,0.0,female,Greater than 45,924,M,0,0.0,708.0,Caucasian,0.0,59.0,1
0,Low,0.0,0,0.0,Male,25 - 45,2911,M,1,0.0,408.0,African-American,0.0,34.0,2
0,LOW,1.0,0,0.0,Male,25 - 45,5776,F,0,0.0,312.0,Caucasian,1.0,26.0,3
0,High,4.0,0,0.0,Female,25 - 45,10267,F,0,0.0,372.0,African-American,4.0,31.0,8
0,Low,0.0,0,0.0,Male,Less than 25,6345,F,0,0.0,240.0,African-American,0.0,20.0,3
0,High,0.0,0,0.0,Male,25 - 45,2664,F,1,0.0,324.0,African-American,0.0,27.0,8
0,Medium,1.0,0,0.0,Female,25 - 45,6717,F,0,0.0,312.0,Caucasian,1.0,26.0,6
0,High,1.0,0,0.0,Male,Less than 25,10753,F,1,0.0,276.0,African-American,1.0,23.0,10
0,High,8.0,0,2.0,Male,25 - 45,7728,F,1,2.0,408.0,African-American,8.0,34.0,9
0,Low,0.0,0,0.0,Female,Less than 25,10799,F,1,0.0,264.0, African-American,0.0,22.0,4
0,Low,0.0,0,0.0,Male,Greater than 45,4629,M,1,0.0,660.0,Caucasian,0.0,55.0,1
0,Medium,0.0,0,0.0,Female,Less than 25,3437,F,0,0.0,252.0,Caucasian,0.0,21.0,6
0,Low,0.0,0,0.0,Male,Less than 25,2262,M,1,0.0,276.0,African-American,0.0,23.0,3
0,Low,0.0,0,0.0,MALE,Greater than 45,10669,M,1,0.0,672.0,Caucasian,0.0,56.0,1
0,Medium,0.0,0,0.0,Female,25 - 45,4195,M,1,0.0,372.0,African-American,0.0,31.0,6
0,Low,2.0,0,0.0,Female,Greater than 45,4298,M,0,0.0,648.0,Hispanic,2.0,54.0,1
0,Medium,0.0,0,0.0,Male,25 - 45,8117,F,1,0.0,336.0,Caucasian,0.0,28.0,6
0,Low,0.0,0,0.0,Male,25 - 45,4620,F,0,0.0,492.0,Caucasian,0.0,41.0,2
0,Low,2.0,0,0.0,Male,25 - 45,2052,F,0,0.0,516.0,Caucasian,2.0,43.0,1
0,Medium,0.0,0,0.0,Male,25 - 45,64,F,1,,348.0,African-American,0.0,29.0,7
0,Medium,N/A,0,0.0,Male,25 - 45,3568,F,0,0.0,432.0,?,N/A,36.0,7
0,Low,2.0,0,0.0,Male,25 - 45,2311,F,1,0.0,372.0,Other,2.0,31.0,2
0,Medium,3.0,0,0.0,Male,25 - 45,7514,F,0,0.0,528.0, Caucasian,3.0,44.0,5
0,High,3.0,0,0.0,Male,Less than 25,4007,M,1,0.0,288.0,African-American,3.0,24.0,10
0,Low,2.0,0,0.0,Male,25 - 45,1058,M,0,0.0,336.0,African-American,2.0,28.0,4
0,Low,2.0,0,0.0,Male,25 - 45,4553,M,0,0.0,408.0,hispanic,2.0,34.0,3
0,MEDIUM,1.0,0,0.0,Female,25 - 45,1348,F,0,0.0,348.0,African-American,1.0,29.0,5
0,Medium,4.0,0,0.0,Male,25 - 45,3662,F,0,0.0,336.0,African-American,4.0,28.0,7
0,Low,1.0,0,0.0,Male,Greater than 45,7686,F,0,0.0,576.0,Other,1.0,48.0,1
0,Low,,0,0.0,Female,Greater than 45,7080,M,0,0.0,624.0,Caucasian,,52.0,1
0,Low,7.0,0,0.0,Male,25 - 45,8437,F,0,,504.0,African-American,7.0,42.0,1
0,Low,2.0,0,0.0,Male,Less than 25,1165,M,0,0.0,276.0,Other,2.0,23.0,4
0,High,2.0,1,1.0,Male,Less than 25,7067,F,1,0.0,264.0,Caucasian,2.0,22.0,9
0,High,11.0,0,0.0,Female,25 - 45,1816,F,1,0.0,348.0,Caucasian,11.0,29.0,10
0,Low,3.0,0,0.0,Male,Greater than 45,3401,M,1,0.0,552.0,African-American,3.0,46.0,1
0,Low,1.0,0,0.0,Male,Greater than 45,8404,F,0,0.0,552.0,Caucasian,1.0,46.0,1
0,Low,1.0,0,0.0,Female,Less than 25,2248,Felony,0,0.0,276.0,?,1.0,23.0,9
0,Low,0.0,0,0.0,male,25 - 45,525,M,0,0.0,468.0,Other,0.0,39.0,1
0,Medium,0.0,0,0.0,Male,25 - 45,405,F,1,0.0,324.0,Caucasian,0.0,27.0,6
0,Medium,5.0,1,1.0,Male,25 - 45,7426,F,0,0.0,312.0,African-American,5.0,26.0,6
0,LOW,0.0,0,0.0,Female,25 - 45,7076,M,1,0.0,324.0,Caucasian,0.0,27.0,2
0,Low,3.0,0,0.0,Male,Greater than 45,2625,M,0,0.0,612.0,Hispanic,3.0,51.0,2
0,Medium,4.0,0,0.0,Male,25 - 45,8524,M,0,0.0,348.0,African-American,4.0,29.0,5
0,Low,1.0,0,0.0,Male,25 - 45,4757,F,1,0.0,468.0,african-american,1.0,39.0,2
0,Medium,5.0,0,0.0, Male,25 - 45,7457,F,1,0.0,312.0,African-American,5.0,26.0,7
0,Low,0.0,0,0.0,Female,25 - 45,6526,M,0,0.0,420.0,Hispanic,0.0,35.0,2
0,Medium,0.0,0,0.0,Female,Greater than 45,9584,F,1,0.0,624.0,African-American,0.0,52.0,7
0,Low,1.0,0,0.0,Male,25 - 45,7141,F,0,0.0,492.0,Caucasian,1.0,41.0,1
0,High,0.0,0,0.0,male,25 - 45,8707,M,0,0.0,372.0,African-American,0.0,31.0,10
0,Low,2.0,0,0.0,Male,Greater than 45,1622,F,0,0.0,636.0,African-American,2.0,53.0,3
0,Low,0.0,0,0.0,Male,25 - 45,8265,F,0,0.0,528.0,African-American,0.0,44.0,3
0,Medium,1.0,0,0.0,Male,25 - 45,1431,F,0,0.0,300.0,Caucasian,1.0,25.0,5
0,Low,3.0,0,0.0,Male,Greater than 45,3547,F,0,0.0,588.0,African-American,3.0,49.0,4
0,High,2.0,0,1.0,Male,Less than 25,5069,M,1,1.0,288.0,African-American,2.0,24.0,10
0,Low,9.0,0,0.0,Male,Greater than 45,6413,F,0,0.0,564.0,African-American,9.0,47.0,4
0,Low,3.0,0,0.0,Female,25 - 45,5431,m,1,0.0,516.0,Caucasian,3.0,43.0,2
0,Low,0.0,0,0.0,Male,25 - 45,8253,M,0,0.0,348.0,African-American,0.0,29.0,3
0,Medium,4.0,0,0.0,Male,Greater than 45,8642,F,0,0.0,732.0,Caucasian,4.0,61.0,6
1,Medium,3.0,0,1.0,Female,25 - 45,10838,F,1,0.0,324.0,African-American,3.0,27.0,6
0,High,N/A,0,0.0,Female,25 - 45,10499,F,1,0.0,336.0,Caucasian,N/A,28.0,9
0,Low,,0,0.0,Male,Greater than 45,2830,F,0,0.0,672.0,African-American,,56.0,1
0,High,0.0,0,0.0,Female,25 - 45,10831,M,1,0.0,324.0,Caucasian,0.0,27.0,8
0,low,-,0,0.0,Male,25 - 45,3286,M,1,0.0,480.0,Other,-,40.0,1
0,High,5.0,1,2.0,Male,25 - 45,3840,F,0,1.0,336.0,African-American,5.0,28.0,10
0,Medium,7.0,0,0.0,MALE,Greater than 45,10957,M,1,0.0,612.0,African-American,7.0,51.0,6
0,Low,7.0,0,0.0,Male,Greater than 45,6192,F,0,0.0,540.0,Caucasian,7.0,45.0,2
0,Medium,8.0,0,0.0,Male,Greater than 45,1844,F,1,,588.0,Caucasian,8.0,49.0,6
0,Low,,0,0.0,Male,Greater than 45,84,M,0,0.0,588.0,African-American,,49.0,1
0,Low,0.0,0,0.0,Male,25 - 45,6446,M,1,0.0,372.0, Caucasian,0.0,31.0,1
1,Medium,7.0,1,2.0,Male,25 - 45,1136,Misdemeanor,1,0.0,300.0,African-American,7.0,25.0,5
0,Medium,2.0,0,0.0,Male,Greater than 45,6047,F,0,0.0,696.0,Caucasian,2.0,58.0,5
0,Medium,4.0,0,0.0,Female,25 - 45,52,M,1,0.0,396.0,Caucasian,4.0,33.0,5
0,Low,1.0,0,0.0,Male,Greater than 45,7451,M,0,0.0,756.0,Caucasian,1.0,63.0,1
0,Medium,1.0,0,0.0,Male,25 - 45,6704,F,0,0.0,360.0,Caucasian,1.0,30.0,5
0,Low,0.0,0,0.0,Male,25 - 45,9249,M,0,0.0,396.0,Other,0.0,33.0,1
0,High,11.0,0,0.0,Male,25 - 45,2859,F,1,0.0,444.0,Caucasian,11.0,37.0,8
1,LOW,3.0,0,1.0,Male,25 - 45,2917,M,0,0.0,312.0,?,3.0,26.0,4
0,Low,0.0,0,0.0,Male,25 - 45,8298,F,0,0.0,360.0,Caucasian,0.0,30.0,2
0,High,0.0,0,0.0,Male,Less than 25,7488,F,1,0.0,,African-American,0.0,,8
0,Medium,1.0,0,0.0,Male,Greater than 45,2156,F,1,0.0,540.0,Caucasian,1.0,45.0,5
1,High,3.0,1,2.0,Male,Less than 25,407,M,1,0.0,264.0,African-American,3.0,22.0,10
0,Low,0.0,0,0.0,Male,Greater than 45,2332,F,0,0.0,672.0,Caucasian,0.0,56.0,1
0,High,2.0,1,1.0,Male,Less than 25,485,f,1,0.0,288.0,African-American,2.0,24.0,9
1,low,4.0,0,1.0,Male,25 - 45,3046,F,0,0.0,336.0,African-American,4.0,28.0,4
0,Low,1.0,0,0.0,Male,Less than 25,3544,F,1,0.0,288.0,African-American,1.0,24.0,2
0,Low,2.0,0,0.0, Male,25 - 45,8349,F,0,0.0,372.0,African-American,2.0,31.0,1
0,Medium,5.0,0,0.0,Male,25 - 45,1043,F,0,0.0,372.0,African-American,5.0,31.0,7
